Name,address,group,latitude,longitude
Cafe - Catholic Adult Formation and Education,209 Seymour Ave Lansing MI,Roman Catholic,42.734993,-84.555794
Convenant Fellowship Church,1132 N Washington Ave Lansing MI,Non-Denominational,42.747187,-84.551778
Diocese of Lansing,300 W Ottawa St Lansing MI,Roman Catholic,42.734814,-84.555796
Friendship Baptist Church,925 W Malcolm X St Lansing MI,Baptist,42.72532441,-84.57117282
Full Gospel Ame Zion Church,1237 W Ionia St Lansing MI,African Methodist Episcopal,42.736069,-84.570261
Gates Of Zion Church,3711 W Jolly Rd Lansing MI,Non-Denominational,42.68305,-84.60039
Grace United Methodist Church,1900 Boston Blvd Lansing MI,United Methodist,42.711723,-84.576705
Holy Spirit Oratory,3815 S Cedar St Lansing MI,Roman Catholic,42.693114,-84.547434
Holy Temple Church Of God,1033 Hickory St Lansing MI,Church of God,42.729206,-84.536374
KofC Michigan District 19,2500 Tulane Dr Lansing MI,Roman Catholic,42.755571,-84.51647
Lansing Spanish SDA Church,111 N Magnolia Ave Lansing MI,Seventh Day Adventist,42.734075,-84.520361
Macedonia Missionary Church,1142 Lathrop St Lansing MI,Missionary,42.721189,-84.528957
Mary Margaret Utess,800 W Barnes Ave Lansing MI,Roman Catholic,42.71502,-84.56365
Mount Olive Baptist Church,3015 S Washington Ave Lansing MI,Baptist,42.70178,-84.560339
Mt Zion Missionary Baptist Church,1314 Ballard St Lansing MI,Baptist,42.748797,-84.539509
New Bethel Christian Church,700 W Mount Hope Ave Lansing MI,Non-Denominational,42.712209,-84.56217
New Creation Church,6501 Hilliard Rd Lansing MI,Non-Denominational,42.663299,-84.558416
Oakland Avenue Original Church,1900 S Cedar St Lansing MI,Non-Denominational,42.710797,-84.549164
One Church One Child Of Michigan,4601 W Saginaw Hwy Lansing MI,Non-Denominational,42.740627,-84.615135
Saint Paul United Church Of Christ,319 W Genesee St Lansing MI,United Church of Christ,42.73853,-84.55616
Saint Stephen's Community Church,426 W Ottawa St Lansing MI,Community,42.734847,-84.55826
Sample Business Website,1234 E Malcolm X St Lansing MI,Roman Catholic,42.725502,-84.533081
South Lansing Church of Christ,4002 S Pennsylvania Ave Lansing MI,Restorationist,42.69181,-84.538629
The Religious Society Cafe,6527 Hilliard Rd Lansing MI,Quaker,42.662592,-84.558662
